"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"HF.CON.AIDS.FE.ZS","","Condom use in last intercourse (% of females at risk population)","","Percentage of women age 18-49 who had more than one sexual partner in the last 12 months and used a condom during last intercourse","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.CON.AIDS.FE.ZS.Q1","","Condom use in last intercourse (% of females at risk population): Q1 (lowest)","","Percentage of women age 18-49 who had more than one sexual partner in the last 12 months and used a condom during last intercourse","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.CON.AIDS.FE.ZS.Q2","","Condom use in last intercourse (% of females at risk population): Q2","","Percentage of women age 18-49 who had more than one sexual partner in the last 12 months and used a condom during last intercourse","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.CON.AIDS.FE.ZS.Q3","","Condom use in last intercourse (% of females at risk population): Q3","","Percentage of women age 18-49 who had more than one sexual partner in the last 12 months and used a condom during last intercourse","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.CON.AIDS.FE.ZS.Q4","","Condom use in last intercourse (% of females at risk population): Q4","","Percentage of women age 18-49 who had more than one sexual partner in the last 12 months and used a condom during last intercourse","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.CON.AIDS.FE.ZS.Q5","","Condom use in last intercourse (% of females at risk population): Q5 (highest)","","Percentage of women age 18-49 who had more than one sexual partner in the last 12 months and used a condom during last intercourse","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.AIDS.ZS","","Prevalence of HIV, total (% of population ages 15-49)","","Percentage of population age 15-49 who had blood tests that are positive for HIV1 or HIV2","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.AIDS.ZS.Q1","","Prevalence of HIV, total (% of population ages 15-49): Q1 (lowest)","","Percentage of population age 15-49 who had blood tests that are positive for HIV1 or HIV2","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.AIDS.ZS.Q2","","Prevalence of HIV, total (% of population ages 15-49): Q2","","Percentage of population age 15-49 who had blood tests that are positive for HIV1 or HIV2","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.AIDS.ZS.Q3","","Prevalence of HIV, total (% of population ages 15-49): Q3","","Percentage of population age 15-49 who had blood tests that are positive for HIV1 or HIV2","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.AIDS.ZS.Q4","","Prevalence of HIV, total (% of population ages 15-49): Q4","","Percentage of population age 15-49 who had blood tests that are positive for HIV1 or HIV2","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.AIDS.ZS.Q5","","Prevalence of HIV, total (% of population ages 15-49): Q5 (highest)","","Percentage of population age 15-49 who had blood tests that are positive for HIV1 or HIV2","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.CONM.ZS","","Contraceptive prevalence, modern methods (% of females ages 15-49)","","Percentage of women age 15-49 who are married or live in union and currently use a modern method of contraception. Modern methods are defined as female sterilization, male sterilization, the contraceptive pill, intrauterine contraceptive device (IUD), injectables, implants, female condom, male condom, diaphragm, contraceptive foam and contraceptive jelly, lactational amenorrhea method (LAM), emergency contraception, country-specific modern methods and other modern contraceptive methods respondent mentioned.","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.CONM.ZS.Q1","","Contraceptive prevalence, modern methods (% of females ages 15-49): Q1 (lowest)","","Percentage of women age 15-49 who are married or live in union and currently use a modern method of contraception. Modern methods are defined as female sterilization, male sterilization, the contraceptive pill, intrauterine contraceptive device (IUD), injectables, implants, female condom, male condom, diaphragm, contraceptive foam and contraceptive jelly, lactational amenorrhea method (LAM), emergency contraception, country-specific modern methods and other modern contraceptive methods respondent mentioned.","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.CONM.ZS.Q2","","Contraceptive prevalence, modern methods (% of females ages 15-49): Q2","","Percentage of women age 15-49 who are married or live in union and currently use a modern method of contraception. Modern methods are defined as female sterilization, male sterilization, the contraceptive pill, intrauterine contraceptive device (IUD), injectables, implants, female condom, male condom, diaphragm, contraceptive foam and contraceptive jelly, lactational amenorrhea method (LAM), emergency contraception, country-specific modern methods and other modern contraceptive methods respondent mentioned.","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.CONM.ZS.Q3","","Contraceptive prevalence, modern methods (% of females ages 15-49): Q3","","Percentage of women age 15-49 who are married or live in union and currently use a modern method of contraception. Modern methods are defined as female sterilization, male sterilization, the contraceptive pill, intrauterine contraceptive device (IUD), injectables, implants, female condom, male condom, diaphragm, contraceptive foam and contraceptive jelly, lactational amenorrhea method (LAM), emergency contraception, country-specific modern methods and other modern contraceptive methods respondent mentioned.","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.CONM.ZS.Q4","","Contraceptive prevalence, modern methods (% of females ages 15-49): Q4","","Percentage of women age 15-49 who are married or live in union and currently use a modern method of contraception. Modern methods are defined as female sterilization, male sterilization, the contraceptive pill, intrauterine contraceptive device (IUD), injectables, implants, female condom, male condom, diaphragm, contraceptive foam and contraceptive jelly, lactational amenorrhea method (LAM), emergency contraception, country-specific modern methods and other modern contraceptive methods respondent mentioned.","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.CONM.ZS.Q5","","Contraceptive prevalence, modern methods (% of females ages 15-49): Q5 (highest)","","Percentage of women age 15-49 who are married or live in union and currently use a modern method of contraception. Modern methods are defined as female sterilization, male sterilization, the contraceptive pill, intrauterine contraceptive device (IUD), injectables, implants, female condom, male condom, diaphragm, contraceptive foam and contraceptive jelly, lactational amenorrhea method (LAM), emergency contraception, country-specific modern methods and other modern contraceptive methods respondent mentioned.","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.IMRT.IN","","Mortality rate, infant (per 1,000 live births)","","Deaths of children before their 1st birthday per 1,000 live births. Sample: children born up to 5 years before the survey for full population mortality estimates, and up to 10 years before the survey for wealth quintile specific mortality estimates","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.IMRT.IN.Q1","","Mortality rate, infant (per 1,000 live births): Q1 (lowest)","","Deaths of children before their 1st birthday per 1,000 live births. Sample: children born up to 5 years before the survey for full population mortality estimates, and up to 10 years before the survey for wealth quintile specific mortality estimates","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.IMRT.IN.Q2","","Mortality rate, infant (per 1,000 live births): Q2","","Deaths of children before their 1st birthday per 1,000 live births. Sample: children born up to 5 years before the survey for full population mortality estimates, and up to 10 years before the survey for wealth quintile specific mortality estimates","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.IMRT.IN.Q3","","Mortality rate, infant (per 1,000 live births): Q3","","Deaths of children before their 1st birthday per 1,000 live births. Sample: children born up to 5 years before the survey for full population mortality estimates, and up to 10 years before the survey for wealth quintile specific mortality estimates","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.IMRT.IN.Q4","","Mortality rate, infant (per 1,000 live births): Q4","","Deaths of children before their 1st birthday per 1,000 live births. Sample: children born up to 5 years before the survey for full population mortality estimates, and up to 10 years before the survey for wealth quintile specific mortality estimates","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.IMRT.IN.Q5","","Mortality rate, infant (per 1,000 live births): Q5 (highest)","","Deaths of children before their 1st birthday per 1,000 live births. Sample: children born up to 5 years before the survey for full population mortality estimates, and up to 10 years before the survey for wealth quintile specific mortality estimates","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.MORT","","Mortality rate, under-5 (per 1,000)","","Deaths of children before their 5th birthday per 1,000 live births. Sample: children born up to 5 years before the survey for full population mortality estimates, and up to 10 years before the survey for wealth quintile specific mortality estimates","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.MORT.Q1","","Mortality rate, under-5 (per 1,000): Q1 (lowest)","","Deaths of children before their 5th birthday per 1,000 live births. Sample: children born up to 5 years before the survey for full population mortality estimates, and up to 10 years before the survey for wealth quintile specific mortality estimates","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.MORT.Q2","","Mortality rate, under-5 (per 1,000): Q2","","Deaths of children before their 5th birthday per 1,000 live births. Sample: children born up to 5 years before the survey for full population mortality estimates, and up to 10 years before the survey for wealth quintile specific mortality estimates","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.MORT.Q3","","Mortality rate, under-5 (per 1,000): Q3","","Deaths of children before their 5th birthday per 1,000 live births. Sample: children born up to 5 years before the survey for full population mortality estimates, and up to 10 years before the survey for wealth quintile specific mortality estimates","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.MORT.Q4","","Mortality rate, under-5 (per 1,000): Q4","","Deaths of children before their 5th birthday per 1,000 live births. Sample: children born up to 5 years before the survey for full population mortality estimates, and up to 10 years before the survey for wealth quintile specific mortality estimates","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.MORT.Q5","","Mortality rate, under-5 (per 1,000): Q5 (highest)","","Deaths of children before their 5th birthday per 1,000 live births. Sample: children born up to 5 years before the survey for full population mortality estimates, and up to 10 years before the survey for wealth quintile specific mortality estimates","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.SMEA","","Pap smear in last 3 years (% of females 20-69)","","Percentage of women who received a pap smear in the last 3 years (preferably age 20-69 but age groups may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.SMEA.Q1","","Pap smear in last 3 years (% of females 20-69): Q1 (lowest)","","Percentage of women who received a pap smear in the last 3 years (preferably age 20-69 but age groups may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
"HF.DYN.SMEA.Q2","","Pap smear in last 3 years (% of females 20-69): Q2","","Percentage of women who received a pap smear in the last 3 years (preferably age 20-69 but age groups may vary)","","","","","","","","","Health Equity and Financial Protection Indicators (HEFPI) database, World Bank","","","","","","",
